case_id,gt_index,gt_id,gt_size,model_key,detected,pred_index,pred_size,lesion_dice
BraTS20_Training_035,1,2,11,baseline,False,-1,0,0.0
BraTS20_Training_035,1,2,11,lhfc,False,-1,0,0.0
BraTS20_Training_035,1,2,11,full,False,-1,0,0.0
BraTS20_Training_089,2,3,21,baseline,False,-1,0,0.0
BraTS20_Training_089,2,3,21,lhfc,False,-1,0,0.0
BraTS20_Training_089,2,3,21,full,False,-1,0,0.0
BraTS20_Training_298,0,1,24,baseline,False,-1,0,0.0
BraTS20_Training_298,1,2,30,baseline,True,0,10,0.4
BraTS20_Training_298,2,3,14,baseline,False,-1,0,0.0
BraTS20_Training_298,0,1,24,lhfc,False,-1,0,0.0
BraTS20_Training_298,1,2,30,lhfc,True,0,67,0.4742268041237113
BraTS20_Training_298,2,3,14,lhfc,False,-1,0,0.0
BraTS20_Training_298,0,1,24,full,False,-1,0,0.0
BraTS20_Training_298,1,2,30,full,True,0,100,0.4
BraTS20_Training_298,2,3,14,full,False,-1,0,0.0
BraTS20_Training_093,1,2,11,baseline,False,-1,0,0.0
BraTS20_Training_093,1,2,11,lhfc,True,1,24,0.05714285714285714
BraTS20_Training_093,1,2,11,full,False,-1,0,0.0
BraTS20_Training_309,0,1,15,baseline,False,-1,0,0.0
BraTS20_Training_309,5,6,14,baseline,False,-1,0,0.0
BraTS20_Training_309,6,7,12,baseline,False,-1,0,0.0
BraTS20_Training_309,8,9,42,baseline,True,3,346,0.21649484536082475
BraTS20_Training_309,0,1,15,lhfc,False,-1,0,0.0
BraTS20_Training_309,5,6,14,lhfc,False,-1,0,0.0
BraTS20_Training_309,6,7,12,lhfc,True,6,10,0.45454545454545453
BraTS20_Training_309,8,9,42,lhfc,True,8,283,0.25846153846153846
BraTS20_Training_309,0,1,15,full,False,-1,0,0.0
BraTS20_Training_309,5,6,14,full,False,-1,0,0.0
BraTS20_Training_309,6,7,12,full,False,-1,0,0.0
BraTS20_Training_309,8,9,42,full,True,3,213,0.32941176470588235
BraTS20_Training_332,1,2,24,baseline,False,-1,0,0.0
BraTS20_Training_332,1,2,24,lhfc,False,-1,0,0.0
BraTS20_Training_332,1,2,24,full,False,-1,0,0.0
BraTS20_Training_112,1,2,10,baseline,False,-1,0,0.0
BraTS20_Training_112,1,2,10,lhfc,False,-1,0,0.0
BraTS20_Training_112,1,2,10,full,False,-1,0,0.0
BraTS20_Training_101,1,2,22,baseline,False,-1,0,0.0
BraTS20_Training_101,2,3,12,baseline,False,-1,0,0.0
BraTS20_Training_101,5,6,11,baseline,False,-1,0,0.0
BraTS20_Training_101,1,2,22,lhfc,False,-1,0,0.0
BraTS20_Training_101,2,3,12,lhfc,False,-1,0,0.0
BraTS20_Training_101,5,6,11,lhfc,False,-1,0,0.0
BraTS20_Training_101,1,2,22,full,False,-1,0,0.0
BraTS20_Training_101,2,3,12,full,False,-1,0,0.0
BraTS20_Training_101,5,6,11,full,False,-1,0,0.0
BraTS20_Training_174,1,2,18,baseline,False,-1,0,0.0
BraTS20_Training_174,1,2,18,lhfc,False,-1,0,0.0
BraTS20_Training_174,1,2,18,full,False,-1,0,0.0
BraTS20_Training_261,1,2,39,baseline,False,-1,0,0.0
BraTS20_Training_261,2,3,10,baseline,False,-1,0,0.0
BraTS20_Training_261,4,5,11,baseline,False,-1,0,0.0
BraTS20_Training_261,5,6,14,baseline,False,-1,0,0.0
BraTS20_Training_261,6,7,16,baseline,False,-1,0,0.0
BraTS20_Training_261,8,9,11,baseline,False,-1,0,0.0
BraTS20_Training_261,10,11,12,baseline,False,-1,0,0.0
BraTS20_Training_261,11,12,11,baseline,False,-1,0,0.0
BraTS20_Training_261,1,2,39,lhfc,False,-1,0,0.0
BraTS20_Training_261,2,3,10,lhfc,False,-1,0,0.0
BraTS20_Training_261,4,5,11,lhfc,False,-1,0,0.0
BraTS20_Training_261,5,6,14,lhfc,False,-1,0,0.0
BraTS20_Training_261,6,7,16,lhfc,False,-1,0,0.0
BraTS20_Training_261,8,9,11,lhfc,False,-1,0,0.0
BraTS20_Training_261,10,11,12,lhfc,False,-1,0,0.0
BraTS20_Training_261,11,12,11,lhfc,False,-1,0,0.0
BraTS20_Training_261,1,2,39,full,False,-1,0,0.0
BraTS20_Training_261,2,3,10,full,False,-1,0,0.0
BraTS20_Training_261,4,5,11,full,False,-1,0,0.0
BraTS20_Training_261,5,6,14,full,False,-1,0,0.0
BraTS20_Training_261,6,7,16,full,False,-1,0,0.0
BraTS20_Training_261,8,9,11,full,False,-1,0,0.0
BraTS20_Training_261,10,11,12,full,False,-1,0,0.0
BraTS20_Training_261,11,12,11,full,False,-1,0,0.0
BraTS20_Training_260,2,3,34,baseline,False,-1,0,0.0
BraTS20_Training_260,2,3,34,lhfc,False,-1,0,0.0
BraTS20_Training_260,2,3,34,full,False,-1,0,0.0
BraTS20_Training_216,0,1,12,baseline,False,-1,0,0.0
BraTS20_Training_216,2,3,14,baseline,False,-1,0,0.0
BraTS20_Training_216,3,4,13,baseline,False,-1,0,0.0
BraTS20_Training_216,0,1,12,lhfc,False,-1,0,0.0
BraTS20_Training_216,2,3,14,lhfc,False,-1,0,0.0
BraTS20_Training_216,3,4,13,lhfc,False,-1,0,0.0
BraTS20_Training_216,0,1,12,full,False,-1,0,0.0
BraTS20_Training_216,2,3,14,full,False,-1,0,0.0
BraTS20_Training_216,3,4,13,full,False,-1,0,0.0
BraTS20_Training_155,1,2,18,baseline,False,-1,0,0.0
BraTS20_Training_155,1,2,18,lhfc,False,-1,0,0.0
BraTS20_Training_155,1,2,18,full,False,-1,0,0.0
BraTS20_Training_248,1,2,18,baseline,False,-1,0,0.0
BraTS20_Training_248,2,3,33,baseline,True,1,12,0.4888888888888889
BraTS20_Training_248,1,2,18,lhfc,False,-1,0,0.0
BraTS20_Training_248,2,3,33,lhfc,False,-1,0,0.0
BraTS20_Training_248,1,2,18,full,False,-1,0,0.0
BraTS20_Training_248,2,3,33,full,False,-1,0,0.0
